Cod_setor,domi1V001,domi1V002,domi1V003,domi1V004,domi1V005,domi1V006,domi1V007,domi1V008,domi1V009,domi1V010,domi1V011
420140605000033,1167,1167,1167,0,0,753,178,155,5,76,0
420140605000034,479,479,479,0,0,351,26,81,2,19,0
420140605000035,397,397,397,0,0,315,23,38,5,16,0
420140605000036,536,528,528,0,0,444,9,50,10,15,0
420140605000037,92,92,92,0,0,60,0,9,12,11,0
420140605000038,173,172,172,0,0,138,7,8,10,4,5
420140605000039,934,804,804,0,0,630,24,106,4,33,7
420140605000040,797,794,794,0,0,641,17,132,0,4,0
420140605000041,754,722,722,0,0,563,26,106,0,27,0
420140605000042,604,604,604,0,0,505,12,58,4,25,0
420140605000043,680,680,673,0,7,531,0,106,0,40,3
420140605000044,660,657,620,0,37,489,6,145,0,17,0
420140605000045,886,869,865,0,4,657,11,177,0,24,0
420140605000046,894,894,877,0,17,563,47,246,3,35,0
420140605000047,945,945,937,0,8,772,32,113,0,28,0
420140605000048,543,537,529,2,6,421,24,52,5,35,0
420140605000049,686,683,683,0,0,490,53,66,12,62,0
420140605000050,758,750,745,0,5,465,49,169,7,57,3
420140605000051,555,555,526,1,28,353,20,140,24,18,0
420140605000052,784,784,526,4,254,543,6,196,36,3,0
420140605000053,652,650,558,0,89,527,6,114,3,0,0
420140605000054,580,580,384,0,196,436,6,117,3,18,0
420140605000055,535,534,534,0,0,433,10,65,0,26,0
420140605000056,489,489,489,0,0,429,0,40,0,20,0
420140605000057,722,722,722,0,0,555,49,69,0,49,0
420140605000058,32,32,32,0,0,23,0,7,0,2,0
420140605000059,345,343,343,0,0,278,6,46,0,13,0
420140605000060,356,351,351,0,0,254,27,41,12,14,3
420140605000061,201,198,198,0,0,166,7,18,0,7,0
420140605000062,595,595,591,0,4,483,27,68,0,17,0
420140605000063,419,419,395,0,24,362,3,44,0,6,4
420140605000064,800,800,800,0,0,595,103,93,0,7,2
420140605000065,799,799,737,0,60,548,57,157,7,30,0
420140605000066,731,731,731,0,0,591,28,86,4,17,5
420140605000067,910,910,910,0,0,660,42,107,0,101,0
420140605000068,576,576,576,0,0,447,52,75,0,2,0
420140605000069,579,579,579,0,0,417,48,68,2,44,0
420140605000070,464,464,464,0,0,361,28,64,2,9,0
420140605000071,377,377,377,0,0,321,29,23,0,4,0
420140605000072,288,288,288,0,0,219,33,22,0,14,0
420140605000073,170,170,170,0,0,137,14,0,5,14,0
420140605000074,207,199,199,0,0,159,3,17,0,20,0
420140605000075,210,210,210,0,0,183,0,24,0,3,0
420140605000076,470,470,463,0,7,379,30,27,0,34,0
420140605000077,504,504,504,0,0,426,18,35,19,6,0
420140605000078,434,434,431,0,3,375,6,20,17,16,0
420140605000079,979,978,978,0,0,769,64,54,44,47,0
420140605000080,454,454,454,0,0,354,0,35,17,43,5
420140605000081,635,634,634,0,0,505,34,13,19,63,0
420140605000082,846,846,826,15,5,712,60,22,27,21,4
420140610000001,195,195,195,0,0,151,0,20,13,7,4
